filename,ID_no,Data and Time,MJD,PD,PD_ERR,PA,PA_ERR,MDP_99,Net count rate(2-8),Net count rate(4-8),net count rate (2-4)
ixpe01002901_det1_evt2_v01_select_pcube.fits,1002901,,59714.63951,0.029075999,0.0037955113,-16.563807,3.7397215,0.011513902,19.33,2.05E+00,1.08E+01
ixpe01002901_det2_evt2_v01_select_pcube.fits,1002901,2022-05-15 15:20:54,59714.63951,0.030922422,0.0038145336,-14.233926,3.5340633,0.011571685,17.64,2.29E+00,1.03E+01
ixpe01250101_det1_evt2_v01_select_pcube.fits,1250101,2022-06-18 20:42:09,59748.8626,0.03470194,0.005873977,-23.083803,4.8493724,0.017819116,23.22,1.99E+00,1.27E+01
ixpe01250101_det2_evt2_v01_select_pcube.fits,1250101,,59748.8626,0.031687193,0.00590423,-23.320015,5.3380737,0.01791081,21.72,1.87E+00,1.19E+01
ixpe01250101_det3_evt2_v01_select_pcube.fits,1250101,,59748.8626,0.047627922,0.005931437,-29.421043,3.5679536,0.017994002,20.84,1.89E+00,1.16E+01
ixpe02008201_det1_evt2_v01_select_pcube.fits,2008201,2023-05-02 22:59:13,60066.95779,0.025743697,0.007362913,-4.8690534,8.193647,0.022335349,88.81,2.80E+00,3.81E+01
ixpe02008201_det2_evt2_v01_select_pcube.fits,2008201,,60066.95779,0.01648886,0.007329186,-24.642082,12.733865,0.02223287,83.32,2.54E+00,3.55E+01
ixpe02008201_det3_evt2_v01_select_pcube.fits,2008201,,60066.95779,0.028931132,0.0075035845,-22.637974,7.4302588,0.022762192,78.8,2.73E+00,3.52E+01
ixpe02008301_det1_evt2_v02_select_pcube.fits,2008301,,60073.44307,0.020943113,0.0053949007,-15.414264,7.3797,0.016365405,106.8,3.34E+00,4.75E+01
ixpe02008301_det2_evt2_v02_select_pcube.fits,2008301,,60073.44307,0.01657409,0.0053870515,-20.060205,9.311435,0.01634155,99.96,3.08E+00,4.46E+01
ixpe02008301_det3_evt2_v02_select_pcube.fits,2008301,2023-05-09 10:38:01,60073.44307,0.03312484,0.005541431,-26.134369,4.7925987,0.016810162,94.69,3.28E+00,4.37E+01
ixpe02008401_det2_evt2_v01_select_pcube.fits,2008401,,60088.82082,0.015531641,0.0050746175,-32.157814,9.3601,0.015393763,145.3,2.54E+00,6.28E+01
ixpe02008401_det3_evt2_v01_select_pcube.fits,2008401,,60088.82082,0.034086235,0.0053607854,-25.609486,4.5055866,0.016262125,136.9,2.66E+00,6.07E+01
ixpe02008501_det1_evt2_v01_select_pcube.fits,2008501,,60108.95661,0.021503922,0.005272287,-15.556085,7.023892,0.01599346,132.1,3.18E+00,5.50E+01
ixpe02008501_det2_evt2_v01_select_pcube.fits,2008501,2023-06-13 22:57:31,60108.95661,0.014515128,0.0051452885,-33.753643,10.155078,0.01560814,124.2,2.79E+00,5.34E+01
ixpe02008501_det3_evt2_v01_select_pcube.fits,2008501,,60108.95661,0.017094368,0.00522918,-22.256369,8.763462,0.015862657,117.1,3.12E+00,5.39E+01
ixpe02008601_det1_evt2_v01_select_pcube.fits,2008601,,60115.03936,0.0201929,0.0042709587,-27.105906,6.0593047,0.012955955,157.1,4.51E+00,6.96E+01
ixpe02008601_det2_evt2_v01_select_pcube.fits,2008601,2023-06--20 00:56:41,60115.03936,0.01986805,0.0041918745,-26.992764,6.0443444,0.012716056,147.3,4.18E+00,6.64E+01
ixpe03002201_det2_evt2_v01_select_pcube.fits,3002201,,60412.0211,0.03891728,0.008992057,-36.670193,6.6195416,0.027278086,14.74,1.25E+00,8.01E+00
ixpe03002201_det3_evt2_v01_select_pcube.fits,3002201,,60412.0211,0.04374006,0.00894326,-9.403829,5.857775,0.027130352,14.32,1.26E+00,7.95E+00
ixpe03002599_det1_evt2_v01_select_pcube.fits,3002599,,60593.22448,0.024227055,0.003499891,-25.816938,4.1385856,0.0106169805,65.27,2.47E+00,3.04E+01
ixpe03002599_det2_evt2_v01_select_pcube.fits,3002599,2024-10-10 5:23:15,60593.22448,0.027608786,0.0035115802,-19.270903,3.6438074,0.010652494,60.41,2.47E+00,2.86E+01
ixpe03002599_det3_evt2_v01_select_pcube.fits,3002599,,60593.22448,0.031355217,0.0035439779,-23.147535,3.2380512,0.010750832,57.6,2.57E+00,2.79E+01
ixpe03003101_det1_evt2_v01_select_pcube.fits,3003101,,60436.37372,0.03235262,0.00893157,-22.497835,7.9090304,0.027094167,16.07,1.33E+00,8.77E+00
ixpe03003101_det2_evt2_v01_select_pcube.fits,3003101,2024-05-06 8:58:09,60436.37372,0.0215219,0.009153343,-25.125467,12.184211,0.027766496,14.83,1.21E+00,7.98E+00
ixpe03003101_det3_evt2_v01_select_pcube.fits,3003101,,60436.37372,0.040530432,0.00917916,-6.4057827,6.488355,0.027845748,14.26,1.25E+00,7.82E+00
ixpe03010001_det1_evt2_v01_select_pcube.fits,3010001,,60456.04132,0.055849146,0.008621951,-32.82106,4.4230223,0.026156481,15.92,1.40E+00,8.79E+00
ixpe03010001_det2_evt2_v01_select_pcube.fits,3010001,,60456.04132,0.05186418,0.008909413,-13.449901,4.921613,0.02702829,14.58,1.25E+00,7.89E+00
ixpe03010001_det3_evt2_v01_select_pcube.fits,3010001,2024-05-26 0:59:30,60456.04132,0.03953899,0.008777436,-28.159853,6.3599577,0.026627077,14.13,1.31E+00,7.90E+00
ixpe03010101_det1_evt2_v01_select_pcube.fits,3010101,,60456.04132,0.051494226,0.009903051,-30.03981,5.509799,0.030042503,12.3,1.14E+00,6.73E+00
ixpe03010101_det2_evt2_v01_select_pcube.fits,3010101,2024-06-14 15:32:42,60475.64771,0.05696794,0.010139404,-27.19598,5.0993567,0.0307601,11.29,1.02E+00,6.19E+00
ixpe03010101_det3_evt2_v01_select_pcube.fits,3010101,,60456.04132,0.04684504,0.010158877,-35.988377,6.213015,0.030818237,0.02216,1.81E-03,7.34E-03
